log(g) Teff a1 a2 a3 a4 I1 beaming
6.0 9000.0 -0.235 2.7974 -2.8146 0.9108 8.23316e-05 -0.4592
6.0 9500.0 -0.03 2.4031 -2.5818 0.8758 0.00010028 -0.3005
6.0 10000.0 0.2142 1.6343 -1.7674 0.5976 0.000118175 -0.1594
6.0 10500.0 0.4335 0.8304 -0.8426 0.2717 0.000133656 -0.0333
6.0 11000.0 0.56 0.419 -0.3754 0.0931 0.000148393 0.0799
6.0 11500.0 0.6192 0.2898 -0.2876 0.0707 0.000162323 0.1821
6.0 12000.0 0.6648 0.1778 -0.2052 0.0483 0.000176063 0.2747
6.0 12500.0 0.6933 0.0939 -0.1381 0.0282 0.00018971 0.3589
6.0 13000.0 0.7091 0.0352 -0.0896 0.0131 0.000203352 0.4358
6.0 13500.0 0.717 -0.0054 -0.0564 0.0031 0.00021706 0.5062
6.0 14000.0 0.7203 -0.0352 -0.0324 -0.0041 0.000230892 0.5709
6.0 14500.0 0.7212 -0.0598 -0.0119 -0.0103 0.00024489 0.6305
6.0 15000.0 0.7209 -0.0809 0.0059 -0.0158 0.000259079 0.6856
6.0 15500.0 0.7201 -0.1005 0.0229 -0.021 0.000273477 0.7367
6.0 16000.0 0.7195 -0.12 0.0403 -0.0265 0.000288101 0.7842
6.0 16500.0 0.7189 -0.1393 0.0579 -0.0321 0.000302961 0.8283
6.0 17000.0 0.7197 -0.1611 0.0785 -0.039 0.000318069 0.8696
6.0 20000.0 0.7408 -0.3226 0.2394 -0.0949 0.000414478 1.0683
6.0 25000.0 0.8831 -0.7932 0.7119 -0.2631 0.000603935 1.2821
6.0 30000.0 0.9551 -1.0266 0.8955 -0.3154 0.000861365 1.4175
6.0 35000.0 0.8143 -0.8563 0.7134 -0.2447 0.00115483 1.5105
6.0 40000.0 0.7389 -0.8222 0.713 -0.2511 0.00138833 1.5782
6.0 45000.0 0.7326 -0.9103 0.8321 -0.3001 0.00158324 1.6296
6.0 50000.0 0.757 -1.0439 0.9887 -0.3609 0.0017612 1.6699
6.0 55000.0 0.7948 -1.1876 1.1481 -0.4212 0.00192484 1.7023
6.0 60000.0 0.8429 -1.3446 1.3163 -0.4838 0.00209197 1.729
6.0 65000.0 0.6595 -0.7264 0.667 -0.2462 0.00259665 1.7513
6.0 70000.0 0.6983 -0.8586 0.8116 -0.3005 0.00276838 1.7703
6.0 75000.0 0.7421 -0.9925 0.9535 -0.3528 0.00294035 1.7865
