Teff log(g) a1 a2 a3 a4 I1 beaming
13000.0 5.75 0.5609 -0.4637 0.4634 -0.1797 9.11525e-05 1.2499
13500.0 5.75 0.5596 -0.4775 0.4776 -0.1849 9.56633e-05 1.282
14000.0 5.75 0.5587 -0.4921 0.4933 -0.1907 0.000100186 1.3115
14500.0 5.75 0.558 -0.5064 0.5087 -0.1964 0.000104728 1.3388
15000.0 5.75 0.5576 -0.5207 0.5243 -0.2022 0.000109294 1.364
15500.0 5.75 0.5574 -0.5342 0.5388 -0.2075 0.000113888 1.3874
16000.0 5.75 0.5582 -0.5498 0.556 -0.2139 0.000118514 1.4091
16500.0 5.75 0.5594 -0.5647 0.5713 -0.2194 0.00012318 1.4294
17000.0 5.75 0.5178 -0.4759 0.4805 -0.1858 0.000127895 1.4484
20000.0 5.75 0.617 -0.7642 0.7727 -0.2919 0.000157218 1.5404
25000.0 5.75 0.8155 -1.2168 1.1861 -0.432 0.000212214 1.6409
30000.0 5.75 0.739 -0.9563 0.8557 -0.2982 0.00028626 1.7055
35000.0 5.75 0.5494 -0.6736 0.6166 -0.2218 0.000375162 1.7505
40000.0 5.75 0.5505 -0.8172 0.8052 -0.2985 0.000444621 1.7837
45000.0 5.75 0.6044 -1.0251 1.0351 -0.3852 0.000502036 1.809
50000.0 5.75 0.6688 -1.2257 1.2455 -0.4624 0.000554472 1.8291
55000.0 5.75 0.7315 -1.4011 1.4234 -0.5265 0.000602581 1.8454
60000.0 5.75 0.7909 -1.5561 1.5765 -0.5809 0.000648768 1.8588
3750.0 6.0 1.9842 -3.1106 2.7505 -0.945 4.62346e-06 -1.382
4000.0 6.0 1.7577 -2.6873 2.3602 -0.8093 5.53827e-06 -1.1253
4250.0 6.0 1.6806 -2.5454 2.2314 -0.7649 6.69098e-06 -0.9012
4500.0 6.0 1.6824 -2.551 2.243 -0.7703 8.10795e-06 -0.7042
4750.0 6.0 1.4939 -1.9726 1.595 -0.5184 9.78093e-06 -0.5299
5000.0 6.0 1.2398 -1.2423 0.825 -0.2305 1.19728e-05 -0.3747
5250.0 6.0 0.8901 -0.3043 -0.1199 0.1113 1.40141e-05 -0.236
5500.0 6.0 0.4555 0.7866 -1.1733 0.4782 1.61685e-05 -0.1113
5750.0 6.0 0.1025 1.5846 -1.8736 0.7005 1.84276e-05 0.0013
6000.0 6.0 -0.0788 1.8954 -2.0543 0.7289 2.07811e-05 0.1033
6250.0 6.0 -0.1397 1.8981 -1.9337 0.653 2.3232e-05 0.1962
6500.0 6.0 -0.1349 1.7441 -1.6697 0.5307 2.57747e-05 0.281
7000.0 6.0 -0.0527 1.3136 -1.0766 0.2791 3.1149e-05 0.4301
7500.0 6.0 0.0441 0.93 -0.5992 0.085 3.6913e-05 0.5568
8000.0 6.0 0.0985 0.745 -0.3957 0.0051 4.30597e-05 0.6656
8500.0 6.0 0.1239 0.7012 -0.394 0.0122 4.94987e-05 0.7599
9000.0 6.0 0.2033 0.5402 -0.3078 0.0019 5.60013e-05 0.8423
9500.0 6.0 0.3546 0.1252 0.0666 -0.1129 6.19705e-05 0.9148
10000.0 6.0 0.5028 -0.301 0.4467 -0.2224 6.6524e-05 0.9792
10500.0 6.0 0.5407 -0.3903 0.46 -0.1979 6.96408e-05 1.0366
11000.0 6.0 0.5469 -0.4006 0.4332 -0.1759 7.3564e-05 1.0881
11500.0 6.0 0.5459 -0.4038 0.4268 -0.1717 7.79401e-05 1.1346
12000.0 6.0 0.5445 -0.4066 0.4208 -0.1677 8.23498e-05 1.1767
12500.0 6.0 0.5445 -0.4187 0.4276 -0.1689 8.67818e-05 1.215
13000.0 6.0 0.544 -0.4324 0.4388 -0.1722 9.12419e-05 1.2499
13500.0 6.0 0.5428 -0.4452 0.4507 -0.1762 9.5731e-05 1.282
14000.0 6.0 0.5418 -0.459 0.4649 -0.1813 0.000100249 1.3115
14500.0 6.0 0.5412 -0.4732 0.4801 -0.1868 0.000104789 1.3388
15000.0 6.0 0.5406 -0.4865 0.4941 -0.1919 0.000109359 1.364
15500.0 6.0 0.5403 -0.4999 0.5085 -0.1972 0.000113957 1.3874
16000.0 6.0 0.541 -0.5145 0.524 -0.2029 0.000118593 1.4091
16500.0 6.0 0.5404 -0.5247 0.5344 -0.2065 0.000123266 1.4294
17000.0 6.0 0.544 -0.544 0.554 -0.2136 0.000127981 1.4484
20000.0 6.0 0.5976 -0.7203 0.7297 -0.2764 0.000157337 1.5404
25000.0 6.0 0.7956 -1.17 1.1384 -0.4144 0.000212345 1.6409
30000.0 6.0 0.6705 -0.7969 0.6934 -0.2385 0.000286064 1.7055
35000.0 6.0 0.4923 -0.5445 0.4871 -0.1745 0.000373847 1.7505
40000.0 6.0 0.4715 -0.6398 0.6281 -0.2341 0.000442496 1.7837
45000.0 6.0 0.5086 -0.8126 0.8242 -0.3088 0.000499095 1.809
50000.0 6.0 0.5612 -0.99 1.013 -0.3785 0.000550507 1.8291
55000.0 6.0 0.6137 -1.1459 1.1731 -0.4365 0.000597607 1.8454
60000.0 6.0 0.6677 -1.2938 1.3207 -0.4891 0.000645626 1.8588
65000.0 6.0 0.2347 -0.2093 0.2492 -0.1053 0.00076127 1.8701
70000.0 6.0 0.2751 -0.3299 0.3727 -0.15 0.00080942 1.8797
75000.0 6.0 0.3189 -0.4508 0.4948 -0.1941 0.000857566 1.888
80000.0 6.0 0.3645 -0.5696 0.6131 -0.2365 0.000905769 1.8952
85000.0 6.0 0.4106 -0.6842 0.7259 -0.2768 0.000954126 1.9016
90000.0 6.0 0.4565 -0.7935 0.8323 -0.3146 0.00100271 1.9072
100000.0 6.0 0.5434 -0.9951 1.0273 -0.3835 0.00110152 1.9167
3750.0 6.25 2.0666 -3.2786 2.9134 -1.0035 4.70141e-06 -1.382
4000.0 6.25 1.7852 -2.7401 2.4114 -0.8278 5.60366e-06 -1.1253
4250.0 6.25 1.6906 -2.564 2.249 -0.7712 6.7361e-06 -0.9012
4500.0 6.25 1.6727 -2.5316 2.2232 -0.763 8.13118e-06 -0.7042
4750.0 6.25 1.5315 -2.0853 1.7168 -0.5646 9.78277e-06 -0.5299
5000.0 6.25 1.2831 -1.3686 0.9507 -0.2759 1.20121e-05 -0.3747
5250.0 6.25 1.0094 -0.6244 0.1972 -0.0019 1.40454e-05 -0.236
5500.0 6.25 0.6106 0.3991 -0.8069 0.3531 1.62041e-05 -0.1113
5750.0 6.25 0.2264 1.3075 -1.6415 0.6306 1.84635e-05 0.0013
6000.0 6.25 -0.0149 1.792 -2.0106 0.7298 2.08161e-05 0.1033
6250.0 6.25 -0.1138 1.8973 -1.9953 0.6916 2.32629e-05 0.1962
6500.0 6.25 -0.139 1.829 -1.8229 0.6027 2.58019e-05 0.281
7000.0 6.25 -0.0826 1.4709 -1.3058 0.378 3.1163e-05 0.4301
7500.0 6.25 0.0 1.1171 -0.8508 0.1894 3.68997e-05 0.5568
8000.0 6.25 0.0572 0.9041 -0.5993 0.0873 4.30103e-05 0.6656
8500.0 6.25 0.0841 0.8363 -0.5547 0.0743 4.94198e-05 0.7599
9000.0 6.25 0.1433 0.7172 -0.4957 0.0687 5.59607e-05 0.8423
9500.0 6.25 0.2887 0.323 -0.1384 -0.0429 6.2174e-05 0.9148
10000.0 6.25 0.4188 -0.0722 0.242 -0.1638 6.73528e-05 0.9792
10500.0 6.25 0.5131 -0.342 0.4556 -0.2125 7.08016e-05 1.0366
11000.0 6.25 0.5374 -0.3937 0.4455 -0.1864 7.41126e-05 1.0881
11500.0 6.25 0.5358 -0.3901 0.4216 -0.1717 7.82729e-05 1.1346
12000.0 6.25 0.5335 -0.3901 0.413 -0.1669 8.26348e-05 1.1767
12500.0 6.25 0.5323 -0.3956 0.4112 -0.1646 8.70299e-05 1.215
13000.0 6.25 0.5314 -0.4066 0.4184 -0.1662 9.14557e-05 1.2499
13500.0 6.25 0.53 -0.4179 0.4275 -0.1687 9.59191e-05 1.282
14000.0 6.25 0.5292 -0.4315 0.441 -0.1734 0.000100421 1.3115
14500.0 6.25 0.5282 -0.4441 0.4535 -0.1777 0.000104957 1.3388
15000.0 6.25 0.528 -0.4582 0.4682 -0.183 0.000109526 1.364
15500.0 6.25 0.5265 -0.4687 0.4798 -0.1873 0.000114129 1.3874
16000.0 6.25 0.5282 -0.4851 0.4965 -0.1932 0.000118771 1.4091
16500.0 6.25 0.5292 -0.4991 0.5108 -0.1984 0.00012345 1.4294
17000.0 6.25 0.531 -0.5138 0.5253 -0.2034 0.000128176 1.4484
20000.0 6.25 0.5876 -0.6955 0.7049 -0.2674 0.000157583 1.5404
25000.0 6.25 0.7821 -1.1356 1.1027 -0.4012 0.000212653 1.6409
30000.0 6.25 0.6788 -0.8188 0.7162 -0.247 0.000286201 1.7055
35000.0 6.25 0.4497 -0.4473 0.3893 -0.1388 0.00037303 1.7505
40000.0 6.25 0.4107 -0.5019 0.4898 -0.1836 0.000440904 1.7837
45000.0 6.25 0.4346 -0.6464 0.6585 -0.2486 0.000496719 1.809
50000.0 6.25 0.4772 -0.8044 0.8292 -0.3119 0.000548474 1.8291
55000.0 6.25 0.5214 -0.944 0.9738 -0.3645 0.000595553 1.8454
60000.0 6.25 0.5647 -1.0692 1.1002 -0.4098 0.000640186 1.8588
3750.0 6.5 2.1641 -3.4761 3.1037 -1.0715 4.78144e-06 -1.382
4000.0 6.5 1.8219 -2.8119 2.4808 -0.8528 5.67535e-06 -1.1253
4250.0 6.5 1.703 -2.5857 2.2692 -0.7783 6.7877e-06 -0.9012
4500.0 6.5 1.6677 -2.5198 2.2101 -0.758 8.16093e-06 -0.7042
4750.0 6.5 1.5584 -2.1642 1.8012 -0.5966 9.78935e-06 -0.5299
5000.0 6.5 1.345 -1.5547 1.1501 -0.3511 1.20492e-05 -0.3747
5250.0 6.5 1.1083 -0.8963 0.4706 -0.1008 1.40957e-05 -0.236
5500.0 6.5 0.7561 0.0264 -0.4477 0.2281 1.62468e-05 -0.1113
5750.0 6.5 0.3657 0.9791 -1.3484 0.536 1.85088e-05 0.0013
6000.0 6.5 0.0706 1.6253 -1.8975 0.7046 2.08614e-05 0.1033
6250.0 6.5 -0.0773 1.8631 -2.0184 0.7154 2.33071e-05 0.1962
6500.0 6.5 -0.1209 1.8428 -1.8937 0.643 2.58406e-05 0.281
7000.0 6.5 -0.0978 1.5811 -1.4809 0.4568 3.11885e-05 0.4301
7500.0 6.5 -0.0304 1.2713 -1.0733 0.2854 3.69052e-05 0.5568
8000.0 6.5 0.0203 1.0657 -0.8194 0.1798 4.29796e-05 0.6656
8500.0 6.5 0.0483 0.9808 -0.7429 0.1516 4.93642e-05 0.7599
9000.0 6.5 0.0919 0.8894 -0.6955 0.1447 5.59263e-05 0.8423
9500.0 6.5 0.2183 0.5504 -0.3898 0.0485 6.23293e-05 0.9148
10000.0 6.5 0.3591 0.1177 0.0432 -0.097 6.79342e-05 0.9792
10500.0 6.5 0.463 -0.2095 0.354 -0.1917 7.21792e-05 1.0366
11000.0 6.5 0.5236 -0.3747 0.4591 -0.2034 7.51522e-05 1.0881
11500.0 6.5 0.5295 -0.3819 0.4237 -0.1757 7.87983e-05 1.1346
12000.0 6.5 0.5265 -0.3771 0.4051 -0.1652 8.30477e-05 1.1767
12500.0 6.5 0.5238 -0.3779 0.3986 -0.1614 8.74036e-05 1.215
13000.0 6.5 0.5141 -0.3652 0.38 -0.1532 9.17995e-05 1.2499
13500.0 6.5 0.5218 -0.3968 0.4088 -0.1628 9.62313e-05 1.282
14000.0 6.5 0.5196 -0.4059 0.4165 -0.165 0.00010071 1.3115
14500.0 6.5 0.5195 -0.4211 0.4321 -0.1705 0.000105234 1.3388
15000.0 6.5 0.5196 -0.4354 0.4462 -0.1753 0.0001098 1.364
15500.0 6.5 0.5182 -0.4459 0.4572 -0.1793 0.000114405 1.3874
16000.0 6.5 0.5192 -0.4607 0.4722 -0.1846 0.00011905 1.4091
16500.0 6.5 0.5208 -0.476 0.4878 -0.1902 0.00012374 1.4294
17000.0 6.5 0.5224 -0.4902 0.5018 -0.195 0.000128473 1.4484
20000.0 6.5 0.5816 -0.677 0.6858 -0.2604 0.00015795 1.5404
25000.0 6.5 0.7756 -1.1155 1.0809 -0.393 0.000213132 1.6409
30000.0 6.5 0.6604 -0.7752 0.6717 -0.2307 0.00028665 1.7055
35000.0 6.5 0.4177 -0.373 0.3139 -0.1111 0.000372594 1.7505
40000.0 6.5 0.3644 -0.3947 0.3814 -0.1439 0.000439704 1.7837
45000.0 6.5 0.3778 -0.5165 0.5281 -0.201 0.000494837 1.809
50000.0 6.5 0.4106 -0.6533 0.6783 -0.2571 0.000545549 1.8291
55000.0 6.5 0.4468 -0.7768 0.8079 -0.3044 0.000591573 1.8454
60000.0 6.5 0.4829 -0.8872 0.9201 -0.3447 0.000635269 1.8588
65000.0 6.5 0.0243 0.287 -0.2552 0.0796 0.00074499 1.8701
70000.0 6.5 0.0336 0.2296 -0.1907 0.0555 0.000789594 1.8797
75000.0 6.5 0.0486 0.1654 -0.1216 0.0301 0.000833885 1.888
80000.0 6.5 0.068 0.0965 -0.0494 0.0039 0.00087804 1.8952
85000.0 6.5 0.0906 0.0247 0.0246 -0.023 0.000922141 1.9016
90000.0 6.5 0.1154 -0.0479 0.098 -0.0494 0.000966315 1.9072
100000.0 6.5 0.1647 -0.1877 0.2391 -0.1001 0.00105542 1.9167
3750.0 6.75 2.2739 -3.6933 3.31 -1.1446 4.86241e-06 -1.382
4000.0 6.75 1.87 -2.9076 2.5737 -0.8862 5.75274e-06 -1.1253
4250.0 6.75 1.7201 -2.616 2.2977 -0.7885 6.84527e-06 -0.9012
4500.0 6.75 1.6725 -2.5281 2.2173 -0.7604 8.19678e-06 -0.7042
4750.0 6.75 1.6761 -2.4935 2.1629 -0.7358 9.80535e-06 -0.5299
5000.0 6.75 1.3755 -1.6497 1.2512 -0.3891 1.20917e-05 -0.3747
5250.0 6.75 1.19 -1.122 0.6988 -0.1836 1.41367e-05 -0.236
5500.0 6.75 0.8839 -0.3079 -0.1207 0.1126 1.6297e-05 -0.1113
5750.0 6.75 0.5115 0.6238 -1.0197 0.426 1.8561e-05 0.0013
6000.0 6.75 0.1821 1.3802 -1.6964 0.6454 2.09161e-05 0.1033
6250.0 6.75 -0.0145 1.753 -1.9588 0.7083 2.3357e-05 0.1962
6500.0 6.75 -0.1013 1.8465 -1.9486 0.6763 2.5886e-05 0.281
7000.0 6.75 -0.1052 1.6565 -1.6083 0.5153 3.12172e-05 0.4301
7500.0 6.75 -0.0529 1.3948 -1.2565 0.3657 3.69116e-05 0.5568
8000.0 6.75 -0.0054 1.2021 -1.0193 0.2671 4.29636e-05 0.6656
8500.0 6.75 0.0189 1.1192 -0.9352 0.2334 4.93218e-05 0.7599
9000.0 6.75 0.0522 1.0469 -0.8966 0.2263 5.58949e-05 0.8423
