log(g) Teff a1 a2 a3 a4 I1 beaming
6.0 9000.0 0.1334 0.8538 -0.5665 0.0684 6.48362e-05 0.6128
6.0 9500.0 0.2834 0.4636 -0.2208 -0.0373 7.31119e-05 0.7008
6.0 10000.0 0.4607 -0.0483 0.2602 -0.1847 7.96415e-05 0.7788
6.0 10500.0 0.5257 -0.2088 0.3361 -0.1742 8.40841e-05 0.8483
6.0 11000.0 0.5436 -0.2387 0.3135 -0.1467 8.94253e-05 0.9107
6.0 11500.0 0.5454 -0.2388 0.2933 -0.1352 9.52162e-05 0.967
6.0 12000.0 0.5471 -0.2439 0.2811 -0.127 0.000101 1.0179
6.0 12500.0 0.5512 -0.2657 0.2926 -0.1285 0.000106801 1.0642
6.0 13000.0 0.5546 -0.2913 0.313 -0.1343 0.000112651 1.1065
6.0 13500.0 0.5566 -0.3156 0.3351 -0.1415 0.000118565 1.1452
6.0 14000.0 0.558 -0.3385 0.3574 -0.1492 0.000124548 1.1809
6.0 14500.0 0.5589 -0.3596 0.3785 -0.1566 0.00013059 1.2137
6.0 15000.0 0.5598 -0.3793 0.3982 -0.1635 0.000136692 1.2441
6.0 15500.0 0.56 -0.3958 0.4144 -0.1691 0.000142854 1.2723
6.0 16000.0 0.562 -0.4158 0.4345 -0.1762 0.000149077 1.2985
6.0 16500.0 0.5618 -0.4287 0.4466 -0.1802 0.000155366 1.323
6.0 17000.0 0.5667 -0.4535 0.4713 -0.1891 0.000161718 1.3458
6.0 20000.0 0.6227 -0.6475 0.661 -0.2557 0.000201454 1.4563
6.0 25000.0 0.8342 -1.1584 1.1347 -0.4176 0.000276509 1.5765
6.0 30000.0 0.7425 -0.8714 0.7628 -0.264 0.000377325 1.6535
6.0 35000.0 0.5492 -0.578 0.5016 -0.1771 0.000495898 1.7069
6.0 40000.0 0.5115 -0.639 0.6096 -0.2252 0.000588577 1.7462
6.0 45000.0 0.5392 -0.7977 0.7957 -0.2972 0.000665026 1.7762
6.0 50000.0 0.5872 -0.9726 0.9859 -0.3682 0.000734478 1.7999
6.0 55000.0 0.6385 -1.1329 1.1537 -0.4297 0.000798133 1.819
6.0 60000.0 0.6936 -1.29 1.3133 -0.4873 0.000863046 1.8348
6.0 65000.0 0.336 -0.3454 0.3697 -0.1479 0.0010287 1.8481
6.0 70000.0 0.3788 -0.4754 0.5042 -0.1968 0.00109401 1.8594
6.0 75000.0 0.4251 -0.6053 0.6363 -0.2446 0.00115935 1.8692
6.0 80000.0 0.4731 -0.7324 0.7636 -0.2903 0.00122483 1.8777
6.0 85000.0 0.522 -0.8562 0.8867 -0.3345 0.0012906 1.8851
6.0 90000.0 0.5698 -0.972 0.9999 -0.3748 0.00135682 1.8917
6.0 100000.0 0.6616 -1.1882 1.2109 -0.4498 0.00149182 1.9029
6.25 3750.0 1.9719 -2.8997 2.5021 -0.8488 3.80275e-06 -2.0559
6.25 4000.0 1.8161 -2.652 2.2945 -0.7812 4.62597e-06 -1.7515
6.25 4250.0 1.762 -2.5766 2.2369 -0.7637 5.70429e-06 -1.485
6.25 4500.0 1.7524 -2.5681 2.2373 -0.7655 7.07427e-06 -1.2501
6.25 4750.0 1.6139 -2.1279 1.7384 -0.5701 8.74145e-06 -1.0418
6.25 5000.0 1.3497 -1.3728 0.9362 -0.2687 1.10517e-05 -0.8561
