Mass Teff Radius H_mass
0.250  5015 0.019288 10
0.250  4965 0.019262 10
0.250  4911 0.019238 10
0.250  4853 0.019217 10
0.250  4801 0.019195 10
0.250  4755 0.019171 10
0.250  4702 0.019151 10
0.250  4649 0.019133 10
0.250  4605 0.019113 10
0.250  4551 0.019096 10
0.250  4526 0.019087 10
0.250  4495 0.019073 10
0.250  4440 0.019058 10
0.250  4399 0.019026 10
0.250  4364 0.019030 10
0.250  4310 0.019017 10
0.250  4258 0.019002 10
0.250  4208 0.018988 10
0.250  4158 0.018974 10
0.250  4107 0.018961 10
0.250  4056 0.018948 10
0.250  4005 0.018935 10
0.250  3954 0.018923 10
0.250  3903 0.018912 10
0.250  3851 0.018900 10
0.250  3799 0.018889 10
0.250  3747 0.018879 10
0.250  3694 0.018868 10
0.250  3642 0.018858 10
0.250  3592 0.018848 10
0.250  3541 0.018838 10
0.250  3492 0.018829 10
0.250  3443 0.018820 10
0.250  3396 0.018811 10
0.250  3349 0.018803 10
0.250  3304 0.018795 10
0.250  3260 0.018786 10
0.250  3220 0.018778 10
0.250  3189 0.018769 10
0.250  3161 0.018761 10
0.250  3132 0.018753 10
0.250  3103 0.018745 10
0.250  3075 0.018738 10
0.250  3045 0.018731 10
0.250  3017 0.018724 10
0.250  2991 0.018718 10
0.250  2966 0.018711 10
0.250  2953 0.018708 10
0.250  2931 0.018704 10
0.250  2904 0.018698 10
0.250  2880 0.018692 10
0.250  2855 0.018686 10
0.250  2827 0.018681 10
0.250  2804 0.018676 10
0.250  2779 0.018671 10
0.250  2752 0.018666 10
0.250  2729 0.018661 10
0.250  2705 0.018657 10
0.250  2679 0.018653 10
0.250  2656 0.018647 10
0.250  2634 0.018644 10
0.250  2611 0.018640 10
0.250  2586 0.018637 10
0.250  2563 0.018633 10
0.250  2541 0.018629 10
0.250  2522 0.018626 10
0.250  2502 0.018622 10
0.250  2478 0.018619 10
0.250  2457 0.018616 10
0.250  2437 0.018613 10
0.250  2419 0.018610 10
0.250  2400 0.018607 10
0.250  2390 0.018606 10
0.300 26155 0.034971 10
0.300 25651 0.033656 10
0.300 25206 0.032639 10
0.300 24799 0.031805 10
0.300 24417 0.031094 10
0.300 24053 0.030474 10
0.300 23708 0.029921 10
0.300 23375 0.029424 10
0.300 23055 0.028971 10
0.300 22746 0.028554 10
0.300 22447 0.028168 10
0.300 22156 0.027808 10
0.300 21872 0.027471 10
0.300 21595 0.027153 10
0.300 21323 0.026853 10
0.300 21058 0.026567 10
0.300 20796 0.026296 10
0.300 20538 0.026038 10
0.300 20285 0.025791 10
0.300 20035 0.025553 10
0.300 19789 0.025326 10
0.300 19543 0.025107 10
0.300 19298 0.024897 10
0.300 19056 0.024692 10
0.300 18813 0.024498 10
0.300 18574 0.024310 10
0.300 18338 0.024127 10
0.300 18103 0.023953 10
0.300 17873 0.023784 10
0.300 17645 0.023620 10
0.300 17418 0.023463 10
0.300 17195 0.023310 10
0.300 16974 0.023162 10
0.300 16754 0.023020 10
0.300 16537 0.022880 10
0.300 16320 0.022746 10
0.300 16104 0.022615 10
0.300 15890 0.022489 10
0.300 15678 0.022366 10
0.300 15467 0.022247 10
0.300 15259 0.022132 10
0.300 15053 0.022019 10
0.300 14851 0.021910 10
0.300 14650 0.021803 10
0.300 14453 0.021700 10
0.300 14259 0.021599 10
0.300 14068 0.021502 10
0.300 13882 0.021406 10
0.300 13699 0.021315 10
0.300 13517 0.021225 10
0.300 13337 0.021138 10
0.300 13157 0.021052 10
0.300 12980 0.020969 10
0.300 12804 0.020887 10
0.300 12628 0.020809 10
0.300 12455 0.020731 10
0.300 12283 0.020656 10
0.300 12114 0.020583 10
0.300 11947 0.020512 10
0.300 11782 0.020443 10
0.300 11619 0.020376 10
0.300 11458 0.020310 10
0.300 11299 0.020246 10
0.300 11140 0.020186 10
0.300 10983 0.020127 10
0.300 10827 0.020071 10
0.300 10673 0.020015 10
0.300 10520 0.019962 10
0.300 10368 0.019911 10
0.300 10222 0.019858 10
0.300 10080 0.019802 10
0.300  9989 0.019762 10
0.300  9900 0.019724 10
0.300  9814 0.019687 10
0.300  9731 0.019650 10
0.300  9612 0.019598 10
0.300  9498 0.019547 10
0.300  9389 0.019499 10
0.300  9260 0.019446 10
0.300  9132 0.019390 10
0.300  9005 0.019336 10
0.300  8879 0.019288 10
0.300  8757 0.019236 10
0.300  8636 0.019187 10
0.300  8516 0.019140 10
0.300  8399 0.019093 10
0.300  8283 0.019052 10
0.300  8203 0.018847 10
0.300  8184 0.018574 10
0.300  8108 0.018552 10
0.300  8038 0.018533 10
0.300  7938 0.018506 10
0.300  7831 0.018477 10
0.300  7726 0.018449 10
0.300  7624 0.018420 10
0.300  7523 0.018393 10
0.300  7424 0.018366 10
0.300  7327 0.018340 10
0.300  7232 0.018315 10
0.300  7138 0.018290 10
0.300  7046 0.018266 10
0.300  6956 0.018243 10
0.300  6867 0.018220 10
0.300  6780 0.018198 10
0.300  6694 0.018176 10
0.300  6611 0.018154 10
0.300  6528 0.018133 10
0.300  6447 0.018113 10
0.300  6367 0.018093 10
0.300  6288 0.018074 10
0.300  6211 0.018056 10
0.300  6135 0.018037 10
0.300  6061 0.018020 10
0.300  5988 0.018002 10
0.300  5916 0.017985 10
0.300  5845 0.017968 10
0.300  5776 0.017952 10
0.300  5709 0.017936 10
0.300  5642 0.017921 10
0.300  5577 0.017905 10
0.300  5514 0.017890 10
0.300  5452 0.017875 10
0.300  5391 0.017860 10
0.300  5332 0.017846 10
0.300  5275 0.017832 10
0.300  5227 0.017816 10
0.300  5177 0.017802 10
0.300  5124 0.017789 10
0.300  5078 0.017774 10
0.300  5036 0.017760 10
0.300  4986 0.017748 10
0.300  4957 0.017740 10
0.300  4917 0.017728 10
0.300  4878 0.017715 10
0.300  4838 0.017704 10
0.300  4791 0.017693 10
0.300  4749 0.017682 10
0.300  4714 0.017670 10
0.300  4673 0.017660 10
0.300  4626 0.017651 10
0.300  4584 0.017641 10
0.300  4547 0.017631 10
0.300  4495 0.017630 10
0.300  4463 0.017613 10
0.300  4420 0.017605 10
0.300  4373 0.017597 10
0.300  4334 0.017588 10
0.300  4285 0.017580 10
0.300  4241 0.017572 10
0.300  4196 0.017564 10
0.300  4152 0.017557 10
0.300  4107 0.017550 10
0.300  4084 0.017546 10
0.300  4050 0.017541 10
0.300  4004 0.017534 10
0.300  3958 0.017527 10
0.300  3913 0.017521 10
0.300  3867 0.017515 10
0.300  3822 0.017509 10
0.300  3778 0.017503 10
0.300  3733 0.017497 10
0.300  3689 0.017492 10
0.300  3646 0.017486 10
0.300  3602 0.017481 10
0.300  3560 0.017476 10
0.300  3518 0.017471 10
0.300  3476 0.017466 10
0.300  3436 0.017461 10
0.300  3396 0.017456 10
0.300  3356 0.017451 10
0.300  3318 0.017447 10
0.300  3280 0.017442 10
0.300  3245 0.017437 10
0.300  3216 0.017433 10
0.300  3187 0.017428 10
0.300  3161 0.017424 10
0.300  3137 0.017419 10
0.300  3112 0.017415 10
0.300  3089 0.017411 10
0.300  3065 0.017407 10
0.300  3044 0.017403 10
0.300  3021 0.017399 10
0.300  2995 0.017395 10
0.300  2972 0.017392 10
0.300  2950 0.017388 10
0.300  2929 0.017385 10
0.300  2907 0.017381 10
0.300  2882 0.017378 10
0.300  2860 0.017375 10
0.300  2840 0.017372 10
0.300  2819 0.017369 10
0.300  2795 0.017366 10
0.300  2774 0.017363 10
0.300  2754 0.017361 10
0.300  2730 0.017358 10
0.300  2709 0.017356 10
0.300  2691 0.017353 10
0.300  2681 0.017352 10
0.300  2663 0.017350 10
0.300  2642 0.017348 10
0.300  2622 0.017345 10
0.300  2605 0.017343 10
0.300  2586 0.017341 10
0.300  2566 0.017339 10
0.300  2544 0.017337 10
0.300  2525 0.017335 10
0.300  2507 0.017333 10
0.300  2491 0.017331 10
0.300  2473 0.017329 10
0.350 25822 0.024591 10
0.350 25360 0.024254 10
0.350 24902 0.023937 10
0.350 24451 0.023636 10
0.350 24006 0.023351 10
0.350 23568 0.023080 10
0.350 23137 0.022824 10
0.350 22713 0.022581 10
0.350 22298 0.022348 10
0.350 21885 0.022128 10
0.350 21477 0.021917 10
0.350 21073 0.021717 10
0.350 20675 0.021526 10
0.350 20287 0.021344 10
0.350 19907 0.021171 10
0.350 19537 0.021006 10
0.350 19173 0.020849 10
0.350 18818 0.020699 10
0.350 18469 0.020555 10
0.350 18127 0.020417 10
0.350 17788 0.020285 10
0.350 17454 0.020159 10
0.350 17125 0.020038 10
0.350 16802 0.019921 10
0.350 16484 0.019809 10
0.350 16174 0.019701 10
0.350 15869 0.019596 10
0.350 15572 0.019496 10
0.350 15283 0.019398 10
0.350 15001 0.019305 10
0.350 14725 0.019214 10
0.350 14451 0.019126 10
0.350 14180 0.019042 10
0.350 13913 0.018959 10
0.350 13648 0.018880 10
0.350 13387 0.018803 10
