Mass Teff Radius H_mass
0.250  2698 0.018830 4
0.250  2648 0.018825 4
0.250  2598 0.018819 4
0.250  2550 0.018814 4
0.250  2502 0.018809 4
0.250  2454 0.018805 4
0.250  2407 0.018800 4
0.250 19040 0.043364 4
0.250 18751 0.041734 4
0.250 18487 0.040447 4
0.250 18238 0.039367 4
0.250 18003 0.038437 4
0.250 17779 0.037615 4
0.250 17565 0.036879 4
0.250 17358 0.036214 4
0.250 17160 0.035604 4
0.250 16967 0.035042 4
0.250 16780 0.034521 4
0.250 16598 0.034034 4
0.250 16420 0.033577 4
0.250 16244 0.033148 4
0.250 16071 0.032741 4
0.250 15900 0.032355 4
0.250 15730 0.031987 4
0.250 15562 0.031637 4
0.250 15395 0.031302 4
0.250 15230 0.030980 4
0.250 15067 0.030674 4
0.250 14906 0.030380 4
0.250 14747 0.030096 4
0.250 14588 0.029822 4
0.250 14430 0.029559 4
0.250 14273 0.029305 4
0.250 14117 0.029058 4
0.250 13961 0.028821 4
0.250 13806 0.028591 4
0.250 13650 0.028368 4
0.250 13495 0.028151 4
0.250 13340 0.027942 4
0.250 13187 0.027740 4
0.250 13035 0.027543 4
0.250 12883 0.027350 4
0.250 12733 0.027164 4
0.250 12584 0.026984 4
0.250 12439 0.026807 4
0.250 12293 0.026638 4
0.250 12151 0.026472 4
0.250 12010 0.026311 4
0.250 11872 0.026155 4
0.250 11736 0.026002 4
0.250 11599 0.025854 4
0.250 11464 0.025709 4
0.250 11329 0.025568 4
0.250 11194 0.025431 4
0.250 11060 0.025296 4
0.250 10927 0.025165 4
0.250 10795 0.025037 4
0.250 10663 0.024913 4
0.250 10533 0.024791 4
0.250 10405 0.024673 4
0.250 10278 0.024558 4
0.250 10152 0.024446 4
0.250 10027 0.024337 4
0.250  9904 0.024231 4
0.250  9780 0.024130 4
0.250  9661 0.024018 4
0.250  9547 0.023908 4
0.250  9437 0.023807 4
0.250  9328 0.023714 4
0.250  9227 0.023619 4
0.250  9169 0.023563 4
0.250  9084 0.023490 4
0.250  8975 0.023385 4
0.250  8866 0.023291 4
0.250  8758 0.023190 4
0.250  8651 0.023092 4
0.250  8545 0.022999 4
0.250  8441 0.022908 4
0.250  8337 0.022818 4
0.250  8235 0.022739 4
0.250  8133 0.022654 4
0.250  8033 0.022571 4
0.250  7934 0.022490 4
0.250  7836 0.022414 4
0.250  7740 0.022338 4
0.250  7645 0.022261 4
0.250  7553 0.022184 4
0.250  7460 0.022113 4
0.250  7368 0.022046 4
0.250  7277 0.021980 4
0.250  7188 0.021915 4
0.250  7100 0.021851 4
0.250  7014 0.021785 4
0.250  6928 0.021724 4
0.250  6844 0.021664 4
0.250  6761 0.021606 4
0.250  6679 0.021546 4
0.250  6598 0.021488 4
0.250  6518 0.021434 4
0.250  6440 0.021377 4
0.250  6364 0.021318 4
0.250  6287 0.021268 4
0.250  6212 0.021209 4
0.250  6137 0.021162 4
0.250  6065 0.021107 4
0.250  5993 0.021052 4
0.250  5922 0.021008 4
0.250  5853 0.020949 4
0.250  5784 0.020898 4
0.250  5715 0.020856 4
0.250  5649 0.020808 4
0.250  5583 0.020759 4
0.250  5517 0.020711 4
0.250  5455 0.020650 4
0.250  5391 0.020612 4
0.250  5330 0.020549 4
0.250  5269 0.020509 4
0.250  5209 0.020456 4
0.250  5151 0.020398 4
0.250  5096 0.020330 4
0.250  5037 0.020286 4
0.250  4985 0.020215 4
0.250  4931 0.020166 4
0.250  4881 0.020103 4
0.250  4830 0.020053 4
0.250  4785 0.019996 4
0.250  4743 0.019940 4
0.250  4707 0.019885 4
0.250  4675 0.019837 4
0.250  4641 0.019796 4
0.250  4613 0.019757 4
0.250  4565 0.019733 4
0.250  4543 0.019695 4
0.250  4495 0.019671 4
0.250  4468 0.019640 4
0.250  4446 0.019607 4
0.250  4401 0.019586 4
0.250  4373 0.019559 4
0.250  4353 0.019530 4
0.250  4307 0.019512 4
0.250  4286 0.019485 4
0.250  4243 0.019468 4
0.250  4219 0.019444 4
0.250  4193 0.019438 4
0.250  4182 0.019430 4
0.250  4169 0.019418 4
0.250  4134 0.019407 4
0.250  4097 0.019391 4
0.250  4073 0.019368 4
0.250  4037 0.019362 4
0.250  3997 0.019347 4
0.250  3960 0.019332 4
0.250  3936 0.019314 4
0.250  3891 0.019303 4
0.250  3849 0.019291 4
0.250  3835 0.019283 4
0.250  3819 0.019270 4
0.250  3784 0.019268 4
0.250  3773 0.019264 4
0.250  3755 0.019257 4
0.250  3726 0.019249 4
0.250  3693 0.019235 4
0.250  3672 0.019220 4
0.250  3623 0.019213 4
0.250  3605 0.019200 4
0.250  3569 0.019190 4
0.250  3543 0.019176 4
0.250  3519 0.019164 4
0.250  3491 0.019152 4
0.250  3469 0.019139 4
0.250  3447 0.019128 4
0.250  3430 0.019116 4
0.250  3413 0.019105 4
0.250  3397 0.019094 4
0.250  3376 0.019085 4
0.250  3359 0.019074 4
0.250  3343 0.019064 4
0.250  3328 0.019054 4
0.250  3309 0.019046 4
0.250  3299 0.019041 4
0.250  3280 0.019035 4
0.250  3254 0.019026 4
0.250  3230 0.019018 4
0.250  3206 0.019009 4
0.250  3181 0.019002 4
0.250  3158 0.018994 4
0.250  3138 0.018986 4
0.250  3123 0.018978 4
0.250  3107 0.018971 4
0.250  3099 0.018968 4
0.250  3084 0.018963 4
0.250  3067 0.018956 4
0.250  3050 0.018949 4
0.250  3027 0.018944 4
0.250  2999 0.018938 4
0.250  2985 0.018935 4
0.250  2968 0.018931 4
0.250  2944 0.018925 4
0.250  2916 0.018920 4
0.250  2891 0.018915 4
0.250  2874 0.018909 4
0.250  2855 0.018904 4
0.250  2832 0.018900 4
0.250  2809 0.018895 4
0.250  2786 0.018890 4
0.250  2766 0.018885 4
0.250  2742 0.018885 4
0.250  2728 0.018878 4
0.250  2709 0.018874 4
0.250  2689 0.018870 4
0.250  2665 0.018866 4
