Teff	logg	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
8500.0	9.0	12319.044996052171	13216.492748694396	14286.418253753467	15366.376687766147	16387.02743936666
9000.0	9.0	13101.69346845791	14204.593977210823	15452.05728812816	16632.289135401214	17691.85928485495
9500.0	9.0	13871.504079346323	15209.70989345565	16649.90030969167	17948.244294600452	19011.1252814988
10000.0	9.0	14646.694351304144	16255.446194353222	17906.95828271204	19307.035487756893	20358.046766018706
10500.0	9.0	15437.198085092527	17317.807089352886	19194.399559323498	20688.33340474981	21708.066465842065
11000.0	9.0	16236.750221211158	18390.444382444806	20476.16708134464	22039.74831704714	22999.66274627405
11500.0	9.0	17033.1425898068	19432.342201575895	21703.23922925739	23316.455534682907	24216.28007888304
12000.0	9.0	17811.062687727244	20435.12689502641	22841.704638458454	24482.84227875044	25325.544112279145
12500.0	9.0	18585.614957657748	21403.972962952244	23937.437143983996	25581.37604603449	26365.571239520046
13000.0	9.0	19352.75668026353	22361.653342295802	24988.24855312431	26623.897202791126	27355.284413792826
13500.0	9.0	20069.9320016319	23290.897129906167	25979.351465398784	27583.43621614534	28232.6638690433
14000.0	9.0	20685.182652784886	24093.672214369533	26823.150734028968	28361.19813698653	28957.104753964206
14500.0	9.0	21212.679787427205	24797.163967985754	27563.206399647013	29024.46748602713	29566.122804360006
15000.0	9.0	21764.634233820576	25547.721538344013	28316.16927092711	29707.16321250327	30190.352048002827
15500.0	9.0	22407.01876039363	26383.473946080834	29158.387172777868	30479.15016062702	30882.84458670793
16000.0	9.0	23125.758559401776	27290.654638436794	30067.711706664322	31306.042137462005	31650.162324295925
16500.0	9.0	23897.284747180387	28209.25955049732	30994.932085736797	32181.890846858976	32467.96493521228
17000.0	9.0	24721.460861618954	29147.181460625652	31937.869497618838	33095.527412876334	33330.43601986031
20000.0	9.0	30279.83188422073	34924.683063085	37794.765400154625	38884.37999246501	39007.52163920373
25000.0	9.0	41628.29235132372	45938.124511704365	48825.13040723216	49831.42211111643	49841.76196044628
30000.0	9.0	56884.27564338982	60300.54157964815	63124.02788823523	64101.9966001605	64043.22444877123
4000.0	9.5	4523.34595292884	5268.080440777013	5810.592998916242	6105.747887484118	6364.050658566065
4250.0	9.5	4751.232449165472	5512.876627908686	6064.861903607657	6395.033162079387	6729.188918681498
4500.0	9.5	5032.918944646694	5808.062905657773	6367.712351598415	6729.926420567014	7119.64767620247
4750.0	9.5	5362.253610982672	6147.204228761575	6715.068613550241	7107.8331717531055	7548.314797382912
5000.0	9.5	5735.800382382544	6525.248728248855	7107.9073364938295	7535.809559111549	8024.520901790146
5250.0	9.5	6146.876467810901	6944.095062323441	7548.0401759021115	8014.726400229724	8550.101250861437
5500.0	9.5	6586.939912475036	7388.194736713468	8017.724205673125	8524.520200795465	9111.140453808845
6000.0	9.5	7536.1311611257015	8330.76447940595	9015.56390402249	9617.020860958146	10300.093946637333
6500.0	9.5	8578.727282102478	9314.200972376495	10043.548205876332	10753.50806912896	11527.857517329081
7000.0	9.5	9642.116772348372	10309.731027369393	11081.84672902133	11896.59608336672	12761.675811382514
7500.0	9.5	10651.948287524694	11307.027697320162	12141.811635134096	13055.179594549561	13986.763392819534
8000.0	9.5	11580.277487391872	12282.496639606781	13205.999026040283	14215.1167637999	15208.340586792861
8500.0	9.5	12445.756550857415	13247.041429182473	14290.74316466856	15413.129971264358	16454.92531429209
9000.0	9.5	13271.063821992137	14218.204104160155	15422.20256348325	16647.452340069452	17732.825275391846
9500.0	9.5	14071.784651784059	15202.736964475067	16591.447092989853	17940.07354321073	19038.441394574325
10000.0	9.5	14867.997252616902	16207.398591713312	17811.940823970966	19283.24823408659	20381.22636248287
10500.0	9.5	15678.085457156003	17235.547598442645	19073.148388374528	20653.2261815595	21747.322238702844
11000.0	9.5	16496.025657827606	18274.877658370933	20346.446568164934	22035.323338986236	23097.27670793383
11500.0	9.5	17325.252615680958	19319.913906310117	21599.716756470236	23376.94563611513	24383.319612806754
12000.0	9.5	18147.619926063817	20319.638226710602	22786.537302799206	24621.274323915215	25591.923055791434
12500.0	9.5	18959.09573032708	21302.02745614366	23932.058786236033	25799.07340522597	26718.407504218772
13000.0	9.5	19776.29694996263	22263.0045972887	25020.92307776936	26913.910753416316	27786.185794537672
13500.0	9.5	20595.532850959356	23219.046247057497	26087.752168660536	27995.2884248057	28811.551746028355
14000.0	9.5	21394.750021321837	24155.490479797438	27120.896214383698	29027.722754432878	29784.45247475095
14500.0	9.5	22153.138222683792	25047.76915329596	28084.4134883776	29974.966199719256	30688.5159775215
15000.0	9.5	22830.56981018442	25854.85960768756	28947.864363790686	30783.281454448756	31430.302538835946
15500.0	9.5	23408.250970835263	26542.851700916268	29698.871575836107	31470.21195605503	32080.138324528616
16000.0	9.5	23998.605161863226	27257.741662988363	30433.09685311943	32171.838617324884	32695.770320766762
16500.0	9.5	24643.747961071902	28029.105014105804	31245.426212997227	32904.28749043993	33382.01260023877
17000.0	9.5	25381.115443600385	28894.377405481344	32123.46462095878	33731.8268665274	34138.640621615625
20000.0	9.5	30885.954877844368	34720.24178516563	38048.389286989135	39492.503966578144	39633.27991687033
25000.0	9.5	42436.230060530404	45875.542486469974	49276.72907577919	50623.62353408714	50596.4406758359
30000.0	9.5	57841.48869277605	60428.231264512804	63646.72725225616	65003.07282916048	64921.87136849686
