#     6   58  Pure hydrogen grid                   Sun Sep  6 14:45:00 2015
  Teff  logg  M/Mo  Mbol     BC     Age      U      B      V      R      I      J      H      K    IR1    IR2    IR3    IR4     u      g      r      i      z      KG5
  3750. 7.5  0.319 15.519 -0.474 4.723E+09 18.520 17.501 15.993 15.205 14.485 13.952 14.095 14.171 13.419 13.301 13.186 13.019 19.392 16.745 15.500 15.045 14.803 16.307
  4000. 7.5  0.319 15.237 -0.491 4.157E+09 17.970 17.107 15.728 14.992 14.299 13.657 13.647 13.656 13.107 12.995 12.888 12.748 18.830 16.412 15.277 14.851 14.620 16.048
  4250. 7.5  0.320 14.972 -0.464 3.670E+09 17.376 16.679 15.436 14.756 14.102 13.436 13.270 13.245 12.833 12.730 12.637 12.533 18.226 16.048 15.028 14.642 14.434 15.759
  4500. 7.5  0.321 14.720 -0.407 3.136E+09 16.758 16.233 15.126 14.505 13.896 13.261 12.977 12.924 12.611 12.525 12.457 12.393 17.599 15.666 14.763 14.421 14.243 15.447
  4750. 7.5  0.323 14.479 -0.336 2.657E+09 16.155 15.795 14.815 14.250 13.687 13.102 12.766 12.677 12.445 12.381 12.336 12.298 16.987 15.287 14.494 14.198 14.051 15.127
  5000. 7.5  0.326 14.247 -0.266 2.162E+09 15.574 15.376 14.513 14.000 13.482 12.950 12.609 12.507 12.326 12.279 12.248 12.221 16.399 14.921 14.231 13.978 13.862 14.811
  5250. 7.5  0.329 14.022 -0.209 1.739E+09 15.026 14.988 14.230 13.765 13.288 12.807 12.479 12.384 12.232 12.196 12.173 12.153 15.846 14.581 13.985 13.771 13.683 14.509
  5500. 7.5  0.333 13.809 -0.169 1.512E+09 14.526 14.644 13.978 13.555 13.115 12.679 12.369 12.285 12.155 12.126 12.109 12.095 15.342 14.278 13.765 13.586 13.523 14.234
  6000. 7.5  0.338 13.415 -0.135 1.229E+09 13.716 14.074 13.550 13.199 12.823 12.461 12.182 12.127 12.033 12.017 12.010 12.006 14.533 13.770 13.392 13.273 13.253 13.760
  6500. 7.5  0.341 13.058 -0.136 1.022E+09 13.129 13.620 13.194 12.900 12.578 12.280 12.034 12.002 11.938 11.932 11.933 11.936 13.949 13.356 13.081 13.012 13.027 13.369
  7000. 7.5  0.343 12.729 -0.154 8.614E+08 12.676 13.240 12.883 12.636 12.360 12.122 11.911 11.897 11.853 11.855 11.860 11.863 13.499 13.002 12.806 12.778 12.825 13.034
  7500. 7.5  0.345 12.422 -0.181 7.333E+08 12.308 12.909 12.603 12.395 12.159 11.978 11.802 11.803 11.773 11.779 11.785 11.788 13.134 12.690 12.557 12.565 12.640 12.738
  8000. 7.5  0.347 12.135 -0.211 6.281E+08 11.999 12.614 12.346 12.174 11.974 11.847 11.705 11.716 11.695 11.705 11.711 11.714 12.828 12.407 12.328 12.368 12.469 12.471
  8500. 7.5  0.349 11.865 -0.240 5.411E+08 11.733 12.345 12.106 11.967 11.803 11.725 11.614 11.635 11.620 11.632 11.639 11.642 12.565 12.146 12.114 12.184 12.312 12.227
  9000. 7.5  0.352 11.610 -0.269 4.681E+08 11.498 12.097 11.879 11.773 11.643 11.612 11.531 11.559 11.548 11.562 11.569 11.573 12.334 11.903 11.914 12.012 12.166 12.002
  9500. 7.5  0.354 11.368 -0.298 4.066E+08 11.287 11.867 11.666 11.592 11.495 11.507 11.453 11.488 11.477 11.494 11.500 11.506 12.125 11.678 11.728 11.853 12.032 11.793
 10000. 7.5  0.356 11.138 -0.334 3.543E+08 11.094 11.658 11.472 11.428 11.363 11.412 11.383 11.422 11.411 11.428 11.434 11.440 11.935 11.472 11.558 11.710 11.912 11.603
 10500. 7.5  0.359 10.920 -0.386 3.097E+08 10.924 11.477 11.306 11.288 11.252 11.331 11.323 11.364 11.351 11.368 11.373 11.379 11.767 11.294 11.414 11.589 11.812 11.438
 11000. 7.5  0.361 10.711 -0.460 2.715E+08 10.777 11.326 11.171 11.176 11.163 11.266 11.272 11.315 11.301 11.318 11.323 11.330 11.621 11.147 11.298 11.493 11.732 11.302
 11500. 7.5  0.363 10.513 -0.554 2.384E+08 10.657 11.206 11.066 11.090 11.096 11.216 11.231 11.274 11.261 11.277 11.282 11.289 11.502 11.031 11.208 11.420 11.670 11.194
 12000. 7.5  0.364 10.322 -0.668 2.096E+08 10.564 11.115 10.990 11.028 11.047 11.177 11.197 11.240 11.226 11.242 11.248 11.255 11.410 10.944 11.143 11.367 11.624 11.113
 12500. 7.5  0.366 10.139 -0.776 1.846E+08 10.466 11.024 10.916 10.966 10.996 11.137 11.161 11.204 11.192 11.208 11.214 11.223 11.311 10.858 11.079 11.314 11.576 11.032
 13000. 7.5  0.368  9.964 -0.876 1.628E+08 10.355 10.929 10.840 10.899 10.940 11.093 11.122 11.166 11.156 11.173 11.180 11.189 11.201 10.770 11.010 11.255 11.523 10.945
 13500. 7.5  0.370  9.795 -0.972 1.438E+08 10.240 10.836 10.767 10.832 10.883 11.046 11.080 11.127 11.120 11.138 11.145 11.155 11.086 10.684 10.941 11.195 11.469 10.859
 14000. 7.5  0.372  9.631 -1.067 1.272E+08 10.127 10.748 10.698 10.769 10.827 11.001 11.040 11.088 11.084 11.103 11.111 11.121 10.973 10.604 10.876 11.137 11.415 10.776
 14500. 7.5  0.373  9.474 -1.159 1.126E+08 10.018 10.665 10.633 10.707 10.772 10.956 10.999 11.050 11.049 11.068 11.077 11.088 10.864 10.527 10.813 11.081 11.363 10.696
 15000. 7.5  0.375  9.321 -1.249 9.982E+07  9.912 10.586 10.570 10.648 10.719 10.913 10.959 11.012 11.014 11.034 11.043 11.055 10.758 10.454 10.752 11.026 11.312 10.620
 15500. 7.5  0.377  9.174 -1.336 8.868E+07  9.810 10.510 10.509 10.591 10.667 10.870 10.920 10.975 10.980 11.000 11.010 11.022 10.656 10.385 10.694 10.973 11.262 10.546
 16000. 7.5  0.379  9.030 -1.420 7.890E+07  9.711 10.437 10.451 10.535 10.617 10.828 10.881 10.938 10.946 10.967 10.978 10.990 10.557 10.318 10.637 10.921 11.213 10.475
 16500. 7.5  0.381  8.891 -1.502 7.048E+07  9.617 10.368 10.394 10.481 10.568 10.788 10.843 10.902 10.913 10.934 10.945 10.959 10.462 10.253 10.582 10.871 11.165 10.406
 17000. 7.5  0.383  8.756 -1.582 6.316E+07  9.525 10.300 10.338 10.429 10.520 10.747 10.806 10.867 10.880 10.902 10.914 10.928 10.371 10.191 10.528 10.821 11.119 10.339
 20000. 7.5  0.394  8.019 -2.014 3.171E+07  9.036  9.936 10.033 10.138 10.251 10.521 10.594 10.666 10.693 10.719 10.735 10.753  9.881  9.852 10.233 10.547 10.859  9.972
 25000. 7.5  0.411  7.003 -2.592 1.675E+07  8.379  9.427  9.596  9.720  9.863 10.187 10.279 10.367 10.416 10.450 10.475 10.502  9.224  9.372  9.809 10.150 10.482  9.454
 30000. 7.5  0.428  6.169 -3.013 9.661E+06  7.797  8.956  9.182  9.320  9.486  9.853  9.962 10.063 10.130 10.167 10.195 10.222  8.642  8.926  9.404  9.767 10.114  8.973
 35000. 7.5  0.450  5.445 -3.384 4.587E+06  7.334  8.562  8.828  8.970  9.146  9.534  9.648  9.748  9.811  9.839  9.860  9.874  8.179  8.549  9.052  9.424  9.777  8.571
 40000. 7.5  0.464  4.830 -3.774 3.095E+06  7.058  8.318  8.605  8.749  8.930  9.327  9.443  9.542  9.603  9.627  9.646  9.656  7.903  8.314  8.830  9.207  9.563  8.324
 45000. 7.5  0.480  4.283 -4.151 2.248E+06  6.855  8.134  8.434  8.580  8.764  9.166  9.282  9.381  9.440  9.463  9.479  9.487  7.700  8.135  8.660  9.041  9.398  8.138
 50000. 7.5  0.496  3.790 -4.500 1.691E+06  6.689  7.981  8.290  8.438  8.624  9.029  9.146  9.244  9.301  9.323  9.338  9.344  7.533  7.986  8.517  8.900  9.258  7.983
